Approximate,Exact,RelError
4.18399E-8,4.25196E-8,1.598582E-002
4.18392E-8,4.25194E-8,1.599577E-002
4.18371E-8,4.25186E-8,1.602676E-002
4.18336E-8,4.25172E-8,1.607893E-002
4.18285E-8,4.25152E-8,1.615156E-002
4.18218E-8,4.25124E-8,1.624533E-002
4.18133E-8,4.25087E-8,1.636054E-002
4.18029E-8,4.25041E-8,1.649743E-002
4.17903E-8,4.24981E-8,1.665558E-002
4.17754E-8,4.24908E-8,1.683625E-002
4.17579E-8,4.24817E-8,1.703873E-002
4.17374E-8,4.24706E-8,1.726357E-002
4.17136E-8,4.24571E-8,1.750992E-002
4.16862E-8,4.24408E-8,1.777888E-002
4.16547E-8,4.24212E-8,1.806900E-002
4.16187E-8,4.23980E-8,1.837926E-002
4.15776E-8,4.23703E-8,1.870834E-002
4.15309E-8,4.23376E-8,1.905481E-002
4.14779E-8,4.22991E-8,1.941494E-002
4.14179E-8,4.22539E-8,1.978515E-002
4.13501E-8,4.22009E-8,2.016052E-002
4.12736E-8,4.21390E-8,2.053517E-002
4.11876E-8,4.20668E-8,2.090026E-002
4.10908E-8,4.19827E-8,2.124541E-002
4.09820E-8,4.18849E-8,2.155900E-002
4.08597E-8,4.17714E-8,2.182573E-002
4.07224E-8,4.16397E-8,2.202781E-002
4.05682E-8,4.14870E-8,2.214605E-002
4.03948E-8,4.13101E-8,2.215715E-002
4.01997E-8,4.11055E-8,2.203668E-002
3.99799E-8,4.08692E-8,2.175742E-002
3.97322E-8,4.05965E-8,2.129034E-002
3.94525E-8,4.02826E-8,2.060690E-002
3.91364E-8,3.99222E-8,1.968315E-002
3.87784E-8,3.95094E-8,1.850242E-002
3.83725E-8,3.90385E-8,1.706029E-002
3.79121E-8,3.85033E-8,1.535485E-002
3.73901E-8,3.78981E-8,1.340340E-002
3.67985E-8,3.72174E-8,1.125525E-002
3.61294E-8,3.64567E-8,8.978010E-003
3.53769E-8,3.56124E-8,6.610707E-003
3.45347E-8,3.46824E-8,4.258386E-003
3.36085E-8,3.36667E-8,1.728704E-003
3.26123E-8,3.25673E-8,1.382052E-003
3.15500E-8,3.14062E-8,4.579745E-003
3.04184E-8,3.02022E-8,7.157071E-003
2.92287E-8,2.89725E-8,8.845374E-003
2.79961E-8,2.77357E-8,9.389048E-003
2.67381E-8,2.65116E-8,8.540126E-003
2.54782E-8,2.53198E-8,6.254779E-003
2.42462E-8,2.41787E-8,2.794396E-003
2.30949E-8,2.31044E-8,4.088861E-004
2.20733E-8,2.21103E-8,1.671466E-003
2.11516E-8,2.12310E-8,3.737543E-003
2.03387E-8,2.04741E-8,6.609576E-003
1.96403E-8,1.98363E-8,9.884438E-003
1.90623E-8,1.93105E-8,1.285250E-002
1.86371E-8,1.88861E-8,1.318481E-002
1.83205E-8,1.85511E-8,1.242929E-002
1.80843E-8,1.83038E-8,1.198810E-002